map_creation_id,M0,M1,M2,M3,M4,M5,M6
1512381557292.137,8,8,8,8,0,0,8
1512381557292.145,6,6,6,6,0,0,6
1512381557292.153,4,4,4,4,0,0,4
1512381557292.161,2,2,2,2,0,0,2
1512381557292.169,0,0,0,0,0,0,0
1512381557292.177,0,0,0,0,0,0,0
1512381557292.185,0,2,2,2,0,0,2
1512381557292.193,0,4,4,4,0,0,4
1512381557292.201,0,6,6,6,0,0,6
1512381557292.210,0,8,8,8,0,0,8
1512381557292.218,0,10,10,10,0,0,10
1512381557292.227,0,10,10,10,0,0,10
1512381557292.236,0,8,8,8,0,0,8
1512381557292.244,0,6,6,6,0,0,6
1512381557292.252,0,4,4,4,0,0,4
1512381557292.260,0,2,2,2,0,0,2
1512381557292.268,0,0,0,0,0,0,0
1512381557292.277,0,0,0,0,0,0,0
1512381557292.285,2,0,2,2,0,0,2
1512381557292.293,4,0,4,4,0,0,4
1512381557292.301,6,0,6,6,0,0,6
1512381557292.309,8,0,8,8,0,0,8
1512381557292.317,10,0,10,10,0,0,10
1512381557292.325,10,0,10,10,0,0,10
1512381557292.334,8,0,8,8,0,0,8
1512381557292.341,6,0,6,6,0,0,6
1512381557292.349,4,0,4,4,0,0,4
1512381557292.357,2,0,2,2,0,0,2
1512381557292.365,0,0,0,0,0,0,0
1512381557292.372,0,0,0,0,0,0,0
1512381557292.380,0,0,2,2,0,0,2
1512381557292.387,0,0,4,4,0,0,4
1512381557292.395,0,0,6,6,0,0,6
1512381557292.403,0,0,8,8,0,0,8
1512381557292.411,0,0,10,10,0,0,10
1512381557292.419,0,0,10,10,0,0,10
1512381557292.426,0,0,8,8,0,0,8
1512381557292.434,0,0,6,6,0,0,6
1512381557292.443,0,0,4,4,0,0,4
1512381557292.451,0,0,2,2,0,0,2
1512381557292.460,0,0,0,0,0,0,0
1512381557292.468,0,0,0,0,0,0,0
1512381557292.475,2,2,0,2,0,0,2
1512381557292.482,4,4,0,4,0,0,4
1512381557292.490,6,6,0,6,0,0,6
1512381557292.497,8,8,0,8,0,0,8
1512381557292.505,10,10,0,10,0,0,10
1512381557292.514,10,10,0,10,0,0,10
