"","time","measured_M0","reference_M0","command_M0","measured_M1","reference_M1","command_M1","measured_M2","reference_M2","command_M2","measured_M3","reference_M3","command_M3","measured_M4","reference_M4","command_M4","measured_M5","reference_M5","command_M5","measured_M6","reference_M6","command_M6","angle_0","angle_1","angle_2","angle_3","angle_4","angle_5","angle_6","JR3_FX","JR3_FY","JR3_FZ","JR3_MX","JR3_MY","JR3_MZ","map_creation_id","unix_time_seconds"
"31",38.0005,2.15930912,2.125195,0.43055472,0.39066188,0.20542,0,7.7149737,7.715456,1.69667017,7.76805445,7.845754,1.93801431,4.4014078,4.408501,0.84884146,-0.03060687,2.758374,10,-0.04754798,3.405673,10,111.24,73.7082,-115.38,138.06,128.8242,1035684.8784,1217649.5442,2.62783703209169,0.129964410906418,-1.50488592728244,-0.0254581947586756,-0.0806229175508388,0.00565643082925373,1512347428280.8,1512384827.64
"32",38.8015,8.28666997,8.248729,1.97278916,6.2728402,6.26961,1.60279823,9.4604714,9.492556,2.04738187,2.14338644,2.139813,0.39314853,5.32808546,5.335462,1.35578228,-0.03117159,2.44533,10,-0.05477615,5.890376,10,165.2706,145.494,-124.74,117.3546,131.04,1060601.9346,1242965.1654,2.11006882798169,-0.0353057214135821,-0.428680978522438,-0.0377297192222756,-0.0656380554186388,0.00340047183925373,1512347428279.48,1512384828
"33",39.6015,8.33850966,8.347905,1.95393946,9.69008832,9.704948,2.45082707,8.53639101,8.561653,1.61664895,1.06785321,1.074419,0.15844986,3.32519676,3.320267,0.60812029,-0.02992923,0.094675,10,-0.04709622,9.691294,10,167.94,163.701,-124.2,104.2704,121.5882,1085659.3296,1268452.449,1.77596574462169,-0.177135426243582,0.0965414610375622,-0.0512763459556756,-0.0561988511114388,0.00120119949925373,1512347428280.93,1512384829
"34",40.4025,3.47133893,3.456941,0.59904989,8.90131009,8.947551,2.03741923,2.04998495,2.059698,0.24433163,6.44224457,6.481828,1.65307604,9.09544558,9.09985,2.32039264,-0.03309156,7.542297,10,-0.05590556,6.485564,10,146.88,163.44,-99.1926,135.9,145.215,1110243.6666,1293498.657,3.08662992528169,0.253388748996418,-1.00876177437244,-0.00394463602047562,-0.0963289604746388,0.00790582626925373,1512347428279.47,1512384830
"35",41.2035,9.1059405,9.13711,2.10913893,2.78105183,2.778105,0.51954978,7.97473714,7.976877,1.75105867,1.42361602,1.423102,0.21283679,7.78036501,7.790019,1.69012891,-0.03636686,8.552102,10,-0.04991974,2.056697,10,170.28,128.9052,-118.7406,108.8424,144,1134875.6388,1318554.4482,2.63973357389169,0.153840631686418,-0.515343027382438,-0.0126911352942756,-0.0862895219268388,0.00550497922925373,1512347428279.37,1512384831
"36",42.0045,7.44740905,7.459289,1.50193921,8.69801676,8.704126,2.17491763,2.99597546,2.994726,0.42914702,3.63171765,3.622237,1.00016121,1.88181601,1.912239,0.2905053,-0.03162333,2.866875,10,-0.04935499,7.001445,10,168.66,158.832,-102.78,118.881,109.3032,1159389.2178,1344229.4754,1.76111415612169,-0.0879709901335821,0.246285846117562,-0.0364634321778756,-0.0579265795214388,0.00175601199925373,1512347428279.24,1512384831.68
"37",42.8045,5.26155872,5.267805,1.03548496,6.77904055,6.794868,1.4856626,5.01919371,5.019281,1.1332788,9.68386622,9.65062,2.40093263,7.56803662,7.575731,1.90588502,-0.02834803,1.967572,10,-0.05059738,3.145509,10,162.54,157.86,-112.86,150.552,141.1668,1184000.5872,1369382.1912,2.96254727942169,0.213623279586418,-1.34716895675244,-0.0159286016522756,-0.0877868321074388,0.00805721591925373,1512347428282.65,1512384832
"38",43.6055,0.65087606,0.58622,0,0.37778659,0.383281,0,6.9879748,6.956008,1.36810023,8.18243358,8.198745,1.73907653,2.90121784,2.901926,0.50017562,-0.02281397,1.350236,10,-0.04980679,2.654311,10,93.8772,78.057,-115.74,142.38,118.6758,1208674.9818,1394963.4618,2.40079392210169,-0.0117022429735821,-1.43150668396244,-0.0387146512410756,-0.0734779951510388,0.00329533844925373,1512347428279.57,1512384833
"39",44.4065,1.81484083,1.880312,0.52748501,3.73269023,3.747466,0.98597276,7.80329328,7.811925,1.69840594,4.76733544,4.792796,0.96829985,0.69977981,0.718522,0.03847013,-0.02575038,4.380085,10,-0.05138799,0.333133,10,110.16,124.2,-117,131.139,86.958,1228005.6372,1420951.8798,1.28597051883169,-0.234520450863582,-0.759951749012438,-0.0591371548332756,-0.0360859618756388,-8.71523807462686e-05,1512347428280,1512384834
"40",45.2075,2.91092815,2.925493,0.78457439,7.9416525,7.941898,1.99738371,4.53863129,4.531699,0.74994009,0.53612896,0.332885,0,8.35602328,8.359637,2.08456705,-0.02044219,1.376152,10,-0.05127493,0.309725,10,125.4906,149.7258,-110.16,93.2688,141.7284,1251937.4616,1446197.76,2.43407318737169,0.0575156626764179,-0.425128428472438,-0.0153266053640756,-0.0803906533164388,0.00366754194925373,1512347428281.34,1512384835
"41",46.0075,5.20441077,5.203351,1.26710219,3.87036499,3.874298,0.77080842,0.85529917,0.489917,0,7.52116623,7.54417,1.90261595,2.13085007,2.118289,0.33016632,-0.01919987,9.298301,10,-0.04630563,6.855457,10,143.1486,135.18,-80.4006,136.6614,110.4318,1275829.4304,1471798.1754,2.07466743070169,0.0911290647964179,-0.582989620282438,-0.0170349520864756,-0.0657939291830388,0.00410959389925373,1512347428281.66,1512384835.71
